N.;Direccion;Proyecto;Localidad
112;CL 24 13A 58;ESTACIÓN CENTRAL;ESTACION CENTRAL
113;CL 24A 13A 41 AP 101;ESTACIÓN CENTRAL;ESTACION CENTRAL
114;CL 24A 13A 41 AP 301;ESTACIÓN CENTRAL;ESTACION CENTRAL
115;CL 24A 13A 17 AP 401;ESTACIÓN CENTRAL;ESTACION CENTRAL
116;CL 24 13A 72;ESTACIÓN CENTRAL;ESTACION CENTRAL
117;CL 24A 13A 07 AP 202;ESTACIÓN CENTRAL;ESTACION CENTRAL
118;CL 24A 13A 07 AP 301;ESTACIÓN CENTRAL;ESTACION CENTRAL
119;CL 24A 13A 07 AP 402;ESTACIÓN CENTRAL;ESTACION CENTRAL
120;KR 13A 24 37 LC 2;ESTACIÓN CENTRAL;ESTACION CENTRAL
121;KR 13A 24 27 AP 301;ESTACIÓN CENTRAL;ESTACION CENTRAL
122;KR 13A 24 27 AP 401;ESTACIÓN CENTRAL;ESTACION CENTRAL
123;KR 13A 24 27 AP 501;ESTACIÓN CENTRAL;ESTACION CENTRAL
124;KR 13A 25 09 AP 201;ESTACIÓN CENTRAL;ESTACION CENTRAL
125;CL 24A 13A 14 AP 101;ESTACIÓN CENTRAL;ESTACION CENTRAL
126;CL 24B 13A 16;ESTACIÓN CENTRAL;ESTACION CENTRAL
127;CL 24B 13A 06;ESTACIÓN CENTRAL;ESTACION CENTRAL
128;KR 13A 24B 05;ESTACIÓN CENTRAL;ESTACION CENTRAL
129;KR 13A 24B 17;ESTACIÓN CENTRAL;ESTACION CENTRAL
130;KR 13A 25 13;ESTACIÓN CENTRAL;ESTACION CENTRAL
131;CL 24B 13A 71;ESTACIÓN CENTRAL;ESTACION CENTRAL
132;CL 24B 13A 65;ESTACIÓN CENTRAL;ESTACION CENTRAL
133;RESERVA VIAL INTERSECCIÓN AVENIDA CHILE CON AV COLOMBIA.;LA ESTACIÓN;ESTACION CENTRAL
134;KR 23 72 01-AREA RESTANTE PREDIO LA ESTACION;LA ESTACIÓN;ESTACION CENTRAL
135;RESERVA PAR VIAL CRA 23;LA ESTACIÓN;ESTACION CENTRAL
136;KR 32 19B 10 IN 5 LC 3;LA HOJA;LA HOJA
137;KR 32 19B 10 IN 12 LC 8;LA HOJA;LA HOJA
138;KR 32 19B 10 IN 8 LC 1;LA HOJA;LA HOJA
139;KR 32 19B 10 IN II LC 13;LA HOJA;LA HOJA
140;KR 32 19B 10 IN 2 LC 5;LA HOJA;LA HOJA
141;KR 32 19B 10 IN 11 LC 9;LA HOJA;LA HOJA
142;KR 32 19B 10 IN 11 LC 11;LA HOJA;LA HOJA
143;KR 32 19B 10 IN 11 LC 12;LA HOJA;LA HOJA
144;KR 32 19B 10 IN 11 LC 10;LA HOJA;LA HOJA
145;KR 32 19B 10 IN 1 LC 6;LA HOJA;LA HOJA
146;KR 32 19B 10 IN 3 LC 4;LA HOJA;LA HOJA
147;KR 32 19B 10 IN 1 LC 7;LA HOJA;LA HOJA
148;KR 32 19B 10 IN 7 LC 2;LA HOJA;LA HOJA
149;AC 13 52 60;EL PULPO;EL PULPO
150;KR 95 A # 54 F 10 SUR;CIUDADELA EL PORVENIR;PORVENIR
151;KR 98 53B 07 SUR;CIUDADELA EL PORVENIR;PORVENIR
152;AC 54 SUR 98 07;CIUDADELA EL PORVENIR;PORVENIR
153;KR 97 50B 48 SUR IN 1;PORVENIR MZ - 18;PORVENIR
154;KR 97 50B 48 SUR INT 2;PORVENIR MZ - 18;PORVENIR
155;CL 50B SUR 95 A 82;PORVENIR MZ - 18;PORVENIR
156;CL 50 B SUR 95 A 78 INT 1.;PORVENIR MZ - 18;PORVENIR
157;CL 69A SUR 92 47;CIUDADELA EL RECREO;EL RECREO
158;CL 5 10A 24;SAN BERNARDO;SAN BERNARDO
159;KR 12 3 82;SAN BERNARDO;SAN BERNARDO
160;KR 11 4 94;SAN BERNARDO;SAN BERNARDO
161;CL 3A 10 69;SAN BERNARDO;SAN BERNARDO
162;KR 10A 3 50;SAN BERNARDO;SAN BERNARDO
163;CL 4 11 46;SAN BERNARDO;SAN BERNARDO
164;KR 11A 3 89;SAN BERNARDO;SAN BERNARDO
165;KR 12 3 62 AP 103;SAN BERNARDO;SAN BERNARDO
166;KR 12 3 62 AP 301;SAN BERNARDO;SAN BERNARDO
167;CL 4 10A 10;SAN BERNARDO;SAN BERNARDO
168;CL 5 12A 66;SAN BERNARDO;SAN BERNARDO
169;KR 11B 3 55;SAN BERNARDO;SAN BERNARDO
170;CL 5 10 47 IN 3;SAN BERNARDO;SAN BERNARDO
171;CL 5 10 47 IN 11 0;SAN BERNARDO;SAN BERNARDO
172;KR 11A 3 72;SAN BERNARDO;SAN BERNARDO
173;CL 5 12 12;SAN BERNARDO;SAN BERNARDO
174;CL 3 11A 10;SAN BERNARDO;SAN BERNARDO
175;KR 10A 5 13;SAN BERNARDO;SAN BERNARDO
176;CL 5 12 18;SAN BERNARDO;SAN BERNARDO
177;CL 4 11A 44;SAN BERNARDO;SAN BERNARDO
178;KR 10A 3A 13;SAN BERNARDO;SAN BERNARDO
179;KR 11 4 51;SAN BERNARDO;SAN BERNARDO
180;CL 5 10A 06;SAN BERNARDO;SAN BERNARDO
181;CL 4 11 12;SAN BERNARDO;SAN BERNARDO
182;KR 12 5 29;SAN BERNARDO;SAN BERNARDO
183;KR 12 4A 24;SAN BERNARDO;SAN BERNARDO
184;CL 3A 10 56;SAN BERNARDO;SAN BERNARDO
185;KR 11A 4A 22;SAN BERNARDO;SAN BERNARDO
186;CL 5 12 28;SAN BERNARDO;SAN BERNARDO
187;KR 11 5 02;SAN BERNARDO;SAN BERNARDO
188;CL 3 11A 38;SAN BERNARDO;SAN BERNARDO
189;KR 11B 3 21;SAN BERNARDO;SAN BERNARDO
190;CL 3 11 26;SAN BERNARDO;SAN BERNARDO
191;KR 14 5 24;SAN BERNARDO;SAN BERNARDO
192;CL 4 10 46;SAN BERNARDO;SAN BERNARDO
193;CL 5 12 60;SAN BERNARDO;SAN BERNARDO
194;KR 11 4 02;SAN BERNARDO;SAN BERNARDO
195;KR 11A 4A 41;SAN BERNARDO;SAN BERNARDO
196;KR 12A 5 36;SAN BERNARDO;SAN BERNARDO
197;KR 12 3 48;SAN BERNARDO;SAN BERNARDO
198;CL 3 10A 14;SAN BERNARDO;SAN BERNARDO
199;KR 11 3 91;SAN BERNARDO;SAN BERNARDO
200;CL 5 10A 49;SAN BERNARDO;SAN BERNARDO
201;KR 11B 3 36;SAN BERNARDO;SAN BERNARDO
202;CL 4A 11A 59;SAN BERNARDO;SAN BERNARDO
203;CL 5 10A 41;SAN BERNARDO;SAN BERNARDO
204;KR 11B 3 24;SAN BERNARDO;SAN BERNARDO
205;CL 4A 11A 40;SAN BERNARDO;SAN BERNARDO
206;CL 4A 11A 94;SAN BERNARDO;SAN BERNARDO
207;KR 11 3 32;SAN BERNARDO;SAN BERNARDO
208;KR 11B 3 86;SAN BERNARDO;SAN BERNARDO
209;KR 11B 3 11;SAN BERNARDO;SAN BERNARDO
210;CL 4 11 10;SAN BERNARDO;SAN BERNARDO
211;CL 4 11A 36;SAN BERNARDO;SAN BERNARDO
212;KR 11 3 66;SAN BERNARDO;SAN BERNARDO
213;KR 12 4A 12;SAN BERNARDO;SAN BERNARDO
214;KR 10A 3A 31;SAN BERNARDO;SAN BERNARDO
215;CL 5 11A 61;SAN BERNARDO;SAN BERNARDO
216;CL 4 11A 43;SAN BERNARDO;SAN BERNARDO
217;KR 11B 3 30;SAN BERNARDO;SAN BERNARDO
218;CL 4 11 28;SAN BERNARDO;SAN BERNARDO
219;KR 11 3 81;SAN BERNARDO;SAN BERNARDO
220;KR 10A 3 25;SAN BERNARDO;SAN BERNARDO
221;KR 11 4 75;SAN BERNARDO;SAN BERNARDO
222;KR 12 4A 58;SAN BERNARDO;SAN BERNARDO
223;KR 11 3 95;SAN BERNARDO;SAN BERNARDO
224;KR 11 4 35;SAN BERNARDO;SAN BERNARDO
225;KR 11A 3 11;SAN BERNARDO;SAN BERNARDO
226;KR 11A 3 60;SAN BERNARDO;SAN BERNARDO
227;CL 3 11B 06;SAN BERNARDO;SAN BERNARDO
228;KR 10A 3 14;SAN BERNARDO;SAN BERNARDO
229;CL 5 12 22;SAN BERNARDO;SAN BERNARDO
230;KR 11B 3 81;SAN BERNARDO;SAN BERNARDO
231;KR 11A 4A 35;SAN BERNARDO;SAN BERNARDO
232;KR 11B 3 47;SAN BERNARDO;SAN BERNARDO
233;KR 11 4 83;SAN BERNARDO;SAN BERNARDO
234;KR 11 4 47;SAN BERNARDO;SAN BERNARDO
235;KR 12 3 66 IN 1;SAN BERNARDO;SAN BERNARDO
236;KR 11B 3 29;SAN BERNARDO;SAN BERNARDO
237;KR 12 3 66;SAN BERNARDO;SAN BERNARDO
238;KR 11B 3 63;SAN BERNARDO;SAN BERNARDO
239;KR 11A 3 93;SAN BERNARDO;SAN BERNARDO
240;CL 4A 11A 34;SAN BERNARDO;SAN BERNARDO
241;KR 10A 3A 07;SAN BERNARDO;SAN BERNARDO
242;KR 10A 3A 32;SAN BERNARDO;SAN BERNARDO
243;KR 11A 4A 63;SAN BERNARDO;SAN BERNARDO
244;CL 4 10 71;SAN BERNARDO;SAN BERNARDO
245;CL 4 10A 07;SAN BERNARDO;SAN BERNARDO
246;KR 11A 3 53;SAN BERNARDO;SAN BERNARDO
247;KR 11A 4A 19;SAN BERNARDO;SAN BERNARDO
248;CL 4A 11A 52;SAN BERNARDO;SAN BERNARDO
249;CL 5 11 23;SAN BERNARDO;SAN BERNARDO
250;KR 11A 4A 28;SAN BERNARDO;SAN BERNARDO
251;KR 11A 3 29;SAN BERNARDO;SAN BERNARDO
252;KR 12 3 62 AP 401;SAN BERNARDO;SAN BERNARDO
253;CL 5 11 27;SAN BERNARDO;SAN BERNARDO
254;CL 4A 11A 67;SAN BERNARDO;SAN BERNARDO
255;KR 11B 3 25;SAN BERNARDO;SAN BERNARDO
256;KR 11 3 98;SAN BERNARDO;SAN BERNARDO
257;KR 11 3 17;SAN BERNARDO;SAN BERNARDO
258;CL 4 11 19;SAN BERNARDO;SAN BERNARDO
259;CL 5 10A 15;SAN BERNARDO;SAN BERNARDO
260;KR 11A 3 58;SAN BERNARDO;SAN BERNARDO
261;CL 4 11 40;SAN BERNARDO;SAN BERNARDO
262;KR 10A 3A 22;SAN BERNARDO;SAN BERNARDO
263;KR 11A 4A 47;SAN BERNARDO;SAN BERNARDO
264;CL 3 11A 22;SAN BERNARDO;SAN BERNARDO
265;CL 6 12A 47;SAN BERNARDO;SAN BERNARDO
266;CL 3 10 62;SAN BERNARDO;SAN BERNARDO
267;KR 11 3 53;SAN BERNARDO;SAN BERNARDO
268;KR 11A 3 22;SAN BERNARDO;SAN BERNARDO
269;CL 4 10A 24;SAN BERNARDO;SAN BERNARDO
270;KR 12 3 62 AP 101;SAN BERNARDO;SAN BERNARDO
271;KR 11A 3 38;SAN BERNARDO;SAN BERNARDO
272;KR 12A 5 31;SAN BERNARDO;SAN BERNARDO
273;CL 5 12 36;SAN BERNARDO;SAN BERNARDO
274;KR 14 5 16;SAN BERNARDO;SAN BERNARDO
275;CL 4 11A 22;SAN BERNARDO;SAN BERNARDO
276;CL 4A 11A 70;SAN BERNARDO;SAN BERNARDO
277;CL 3A 10 62 AP 301;SAN BERNARDO;SAN BERNARDO
278;KR 10A 3A 25;SAN BERNARDO;SAN BERNARDO
279;CL 5 12 50;SAN BERNARDO;SAN BERNARDO
280;KR 11 3 74;SAN BERNARDO;SAN BERNARDO
