N.;Folio;Chip;Direccion;Proyecto
147;50C01930027;AAA0246KSLW;KR 32 19B 10 IN 1 LC 7;LA HOJA
148;50C01930022;AAA0246KSEA;KR 32 19B 10 IN 7 LC 2;LA HOJA
149;50C01858341;AAA0233RYMR;AC 13 52 60;EL PULPO
150;50S40637132;AAA0249HCSK;KR 95 A # 54 F 10 SUR;CIUDADELA EL PORVENIR
151;50S00062550;AAA0140DEXR;KR 98 53B 07 SUR;CIUDADELA EL PORVENIR
152;50S40300032;AAA0140DEYX;AC 54 SUR 98 07;CIUDADELA EL PORVENIR
153;50S40467507;AAA0191PMFT;KR 97 50B 48 SUR IN 1;PORVENIR MZ - 18
154;50S00914651;AAA0139OHDM;KR 97 50B 48 SUR INT 2;PORVENIR MZ - 18
155;50S40098334;AAA0144ALCX;CL 50B SUR 95 A 82;PORVENIR MZ - 18
156;50S00920704;AAA0045SWFZ;CL 50 B SUR 95 A 78 INT 1.;PORVENIR MZ - 18
157;50S40358740;AAA0162KBCX;CL 69A SUR 92 47;CIUDADELA EL RECREO
158;50C00251210;AAA0032TOTO;CL 5 10A 24;SAN BERNARDO
159;50C00472462;AAA0032SSSY;KR 12 3 82;SAN BERNARDO
160;50C01041496;AAA0032TSEA;KR 11 4 94;SAN BERNARDO
161;50C00500838;AAA0032TYCX;CL 3A 10 69;SAN BERNARDO
162;50C00398404;AAA0032TYAF;KR 10A 3 50;SAN BERNARDO
163;50C00351571;AAA0032SOEP;CL 4 11 46;SAN BERNARDO
164;50C00459617;AAA0032SXEA;KR 11A 3 89;SAN BERNARDO
165;50C01377573;AAA0032SSKC;KR 12 3 62 AP 103;SAN BERNARDO
166;50C01377575;AAA0032SSMR;KR 12 3 62 AP 301;SAN BERNARDO
167;50C00388400;AAA0032TRSY;CL 4 10A 10;SAN BERNARDO
168;50C00965902;AAA0032PWXR;CL 5 12A 66;SAN BERNARDO
169;50C00109092;AAA0032STHY;KR 11B 3 55;SAN BERNARDO
170;50C00235931;AAA0204DEYN;CL 5 10 47 IN 3;SAN BERNARDO
171;50C00418727;AAA0032TSXR;CL 5 10 47 IN 11 0;SAN BERNARDO
172;50C00743590;AAA0032TFHK;KR 11A 3 72;SAN BERNARDO
173;50C01309671;AAA0032SATD;CL 5 12 12;SAN BERNARDO
174;50C00028666;AAA0032SWJZ;CL 3 11A 10;SAN BERNARDO
175;50C01759449;AAA0032TOOE;KR 10A 5 13;SAN BERNARDO
176;50C00996237;AAA0032SAUH;CL 5 12 18;SAN BERNARDO
177;50C00501457;AAA0032SONX;CL 4 11A 44;SAN BERNARDO
178;50C00524380;AAA0032TUUZ;KR 10A 3A 13;SAN BERNARDO
179;50C00570482;AAA0032SRWF;KR 11 4 51;SAN BERNARDO
180;50C00828426;AAA0032TOPP;CL 5 10A 06;SAN BERNARDO
181;50C00492977;AAA0032SOAW;CL 4 11 12;SAN BERNARDO
182;50C00564797;AAA0032SBKL;KR 12 5 29;SAN BERNARDO
183;50C00096762;AAA0032SPMS;KR 12 4A 24;SAN BERNARDO
184;50C01678434;AAA0032TWDM;CL 3A 10 56;SAN BERNARDO
185;50C00234148;AAA0032SRKL;KR 11A 4A 22;SAN BERNARDO
186;50C00578644;AAA0032SAYN;CL 5 12 28;SAN BERNARDO
187;50C00821811;AAA0032TPBS;KR 11 5 02;SAN BERNARDO
188;50C00287628;AAA0032SWMR;CL 3 11A 38;SAN BERNARDO
189;50C00113055;AAA0032STOE;KR 11B 3 21;SAN BERNARDO
190;50C00186930;AAA0032TEWF;CL 3 11 26;SAN BERNARDO
191;50C00801462;AAA0032PXCN;KR 14 5 24;SAN BERNARDO
192;50C00300968;AAA0032TRMR;CL 4 10 46;SAN BERNARDO
193;50C00012693;AAA0032SBEA;CL 5 12 60;SAN BERNARDO
194;50C00621237;AAA0032TRWW;KR 11 4 02;SAN BERNARDO
195;50C00113259;AAA0032SPZM;KR 11A 4A 41;SAN BERNARDO
196;50C00014468;AAA0032SBHY;KR 12A 5 36;SAN BERNARDO
197;50C01818835;AAA0228NETD;KR 12 3 48;SAN BERNARDO
198;50C00231495;AAA0032TUAF;CL 3 10A 14;SAN BERNARDO
199;50C00263630;AAA0032TFTD;KR 11 3 91;SAN BERNARDO
200;50C00066747;AAA0032TSFT;CL 5 10A 49;SAN BERNARDO
201;50C01276362;AAA0032SWPA;KR 11B 3 36;SAN BERNARDO
202;50C00230463;AAA0032SOZE;CL 4A 11A 59;SAN BERNARDO
203;50C00139485;AAA0032TSHY;CL 5 10A 41;SAN BERNARDO
204;50C01316135;AAA0032SWNX;KR 11B 3 24;SAN BERNARDO
205;50C00114762;AAA0032SPBR;CL 4A 11A 40;SAN BERNARDO
206;50C00057750;AAA0032SPJH;CL 4A 11A 94;SAN BERNARDO
207;50C00034510;AAA0032TUDM;KR 11 3 32;SAN BERNARDO
208;50C00362102;AAA0032SWXS;KR 11B 3 86;SAN BERNARDO
209;50C00149741;AAA0032STRU;KR 11B 3 11;SAN BERNARDO
210;50C01292964;AAA0032SNZM;CL 4 11 10;SAN BERNARDO
211;50C01311939;AAA0032SOMR;CL 4 11A 36;SAN BERNARDO
212;50C00566499;AAA0032TUJH;KR 11 3 66;SAN BERNARDO
213;50C00501702;AAA0032SPKL;KR 12 4A 12;SAN BERNARDO
214;50C00097107;AAA0032TUSK;KR 10A 3A 31;SAN BERNARDO
215;50C01273576;AAA0032SPSK;CL 5 11A 61;SAN BERNARDO
216;50C01248445;AAA0032SWZE;CL 4 11A 43;SAN BERNARDO
217;50C00172044;AAA0032SWOM;KR 11B 3 30;SAN BERNARDO
218;50C00164606;AAA0032SOCN;CL 4 11 28;SAN BERNARDO
219;50C00024640;AAA0032TFUH;KR 11 3 81;SAN BERNARDO
220;50C00449779;AAA0032TWAF;KR 10A 3 25;SAN BERNARDO
221;50C00236876;AAA0032SRSK;KR 11 4 75;SAN BERNARDO
222;50C00106626;AAA0032SPRU;KR 12 4A 58;SAN BERNARDO
223;50C01229787;AAA0032TFSY;KR 11 3 95;SAN BERNARDO
224;50C00505573;AAA0032SRZM;KR 11 4 35;SAN BERNARDO
225;50C00142310;AAA0032SXPP;KR 11A 3 11;SAN BERNARDO
226;50C00492021;AAA0032TFFZ;KR 11A 3 60;SAN BERNARDO
227;50C00112217;AAA0032SSCN;CL 3 11B 06;SAN BERNARDO
228;50C00150758;AAA0032TXXS;KR 10A 3 14;SAN BERNARDO
229;50C00379371;AAA0032SAWW;CL 5 12 22;SAN BERNARDO
230;50C00122969;AAA0032STDM;KR 11B 3 81;SAN BERNARDO
231;50C01496885;AAA0032SRAF;KR 11A 4A 35;SAN BERNARDO
232;50C00097457;AAA0032STJH;KR 11B 3 47;SAN BERNARDO
233;50C00089741;AAA0032SRRU;KR 11 4 83;SAN BERNARDO
234;50C01237163;AAA0032SRXR;KR 11 4 47;SAN BERNARDO
235;50C01256677;AAA0032SSOM;KR 12 3 66 IN 1;SAN BERNARDO
236;50C00509044;AAA0032STMS;KR 11B 3 29;SAN BERNARDO
237;50C00336692;AAA0032SSPA;KR 12 3 66;SAN BERNARDO
238;50C00065551;AAA0032STFT;KR 11B 3 63;SAN BERNARDO
239;50C00373977;AAA0032SXDM;KR 11A 3 93;SAN BERNARDO
240;50C00271195;AAA0032SPAF;CL 4A 11A 34;SAN BERNARDO
241;50C00593411;AAA0032TUWF;KR 10A 3A 07;SAN BERNARDO
242;50C00147345;AAA0032TWPP;KR 10A 3A 32;SAN BERNARDO
243;50C00067317;AAA0250KWKC;KR 11A 4A 63;SAN BERNARDO
244;50C00478732;AAA0032TWSK;CL 4 10 71;SAN BERNARDO
245;50C00955783;AAA0032TUPP;CL 4 10A 07;SAN BERNARDO
246;50C00214615;AAA0032SXKL;KR 11A 3 53;SAN BERNARDO
247;50C01337696;AAA0032SRDM;KR 11A 4A 19;SAN BERNARDO
248;50C00546652;AAA0032SPCX;CL 4A 11A 52;SAN BERNARDO
249;50C00797950;AAA0032SRNN;CL 5 11 23;SAN BERNARDO
250;50C00329402;AAA0032SRLW;KR 11A 4A 28;SAN BERNARDO
251;50C00397806;AAA0032SXNN;KR 11A 3 29;SAN BERNARDO
252;50C01377576;AAA0032SSNX;KR 12 3 62 AP 401;SAN BERNARDO
253;50C00797951;AAA0032SROE;CL 5 11 27;SAN BERNARDO
254;50C00043950;AAA0032SOXS;CL 4A 11A 67;SAN BERNARDO
255;50C01281584;AAA0032STNN;KR 11B 3 25;SAN BERNARDO
256;50C00903083;AAA0032TUNN;KR 11 3 98;SAN BERNARDO
257;50C00570893;AAA0032THDE;KR 11 3 17;SAN BERNARDO
258;50C00749399;AAA0032TFOM;CL 4 11 19;SAN BERNARDO
259;50C00542052;AAA0032TSMS;CL 5 10A 15;SAN BERNARDO
260;50C01131841;AAA0032TFEP;KR 11A 3 58;SAN BERNARDO
261;50C00597707;AAA0032SODE;CL 4 11 40;SAN BERNARDO
262;50C01408566;AAA0032TWOE;KR 10A 3A 22;SAN BERNARDO
263;50C00039372;AAA0032SPYX;KR 11A 4A 47;SAN BERNARDO
264;50C00017782;AAA0032SWKC;CL 3 11A 22;SAN BERNARDO
265;50C00780384;AAA0032PXHK;CL 6 12A 47;SAN BERNARDO
266;50C00471566;AAA0032TXRJ;CL 3 10 62;SAN BERNARDO
267;50C00093630;AAA0032TFZE;KR 11 3 53;SAN BERNARDO
268;50C00134378;AAA0032TEZM;KR 11A 3 22;SAN BERNARDO
269;50C01430360;AAA0032TRUH;CL 4 10A 24;SAN BERNARDO
270;50C01377571;AAA0032SSHK;KR 12 3 62 AP 101;SAN BERNARDO
271;50C00032078;AAA0032TFCN;KR 11A 3 38;SAN BERNARDO
272;50C00460166;AAA0032PXNX;KR 12A 5 31;SAN BERNARDO
273;50C00721799;AAA0032SBAF;CL 5 12 36;SAN BERNARDO
274;50C00292677;AAA0032PXBS;KR 14 5 16;SAN BERNARDO
275;50C01443234;AAA0032SOKC;CL 4 11A 22;SAN BERNARDO
276;50C00053640;AAA0032SPFT;CL 4A 11A 70;SAN BERNARDO
277;50C00889951;AAA0032TWLW;CL 3A 10 62 AP 301;SAN BERNARDO
278;50C00387391;AAA0032TUTO;KR 10A 3A 25;SAN BERNARDO
279;50C00090402;AAA0032SBDM;CL 5 12 50;SAN BERNARDO
